"","year","camp.length","deminc","base.poll","base.und","office","d.gone.neg","d.gone.neg.l1","d.gone.neg.l2","d.neg.frac.l3","week","dem.polls.l1","neg.rep.l1","neg.rep.l2","r.neg.frac.l3","num.rep.l1","num.dem.l1","undother.l1","r.neg.frac.l2","num.rep.l2","num.dem.l2","undother.l2","dem.contrib.l1","dem.contrib.l2","rep.contrib.l1","race","first.week","num.dem","demprcnt","d.neg.rec","rep.contrib.l2","d.neg.dur","dem.polls.l2","y2006","y2004","y2002","y2000","pos.prob.subset","missing","bart.sw","gbm.sw","gam.sw","bart.pscore","gbm.pscore","gam.pscore"
"28",2002,25,0,45.7446808510638,6,1,0,1,1,0.583333333333333,-10,55.4347826086957,1,0.78,0.333333333333333,284,248,8,0.384615384615385,250,216,11,57799,51765,53725,"AR-2-2002",-24,98,54.0935545221,3,49250,9,48.314606741573,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"29",2002,25,0,45.7446808510638,6,1,0,0,0,0.642857142857143,-8,48.3516483516484,0.714285714285714,1,0.428571428571429,364,117,9,0.466666666666667,228,98,8,98070,131165,140750,"AR-2-2002",-24,158,54.0935545221,2,71500,9,55.4347826086957,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"30",2002,25,0,45.7446808510638,6,1,1,0,0,0.6,-7,48.3516483516484,0.547445255474453,0.714285714285714,0.466666666666667,137,158,9,0.5,364,117,9,90611,98070,134472,"AR-2-2002",-24,303,54.0935545221,2,140750,10,48.3516483516484,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"31",2002,25,0,45.7446808510638,6,1,1,1,1,0.529411764705882,-5,53.3459595959596,0.653846153846154,0.63986013986014,0.529411764705882,312,327,11,0.555555555555556,286,303,11,168094,125093,292714,"AR-2-2002",-24,447,54.0935545221,3,285044,12,53.3459595959596,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"32",2002,25,0,45.7446808510638,6,1,1,1,1,0.555555555555556,-4,53.3459595959596,0.400560224089636,0.653846153846154,0.555555555555556,357,447,11,0.578947368421053,312,327,11,86878,168094,72442,"AR-2-2002",-24,819,54.0935545221,4,292714,13,53.3459595959596,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"33",2002,25,0,45.7446808510638,6,1,1,1,1,0.6,-2,52.7472527472528,0.572463768115942,0.526912181303116,0.6,414,913,9,0.619047619047619,353,819,10,300661,155142,204184,"AR-2-2002",-24,1004,54.0935545221,5,140640,15,50,0,0,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"34",2004,25,1,63.0434782608696,8,1,0,0,0,0,-5,63.0434782608696,0,0,0,0,0,8,0,0,0,8,76858,70350,1550,"AR-2-2004",-24,39,55.9160700244,0,6250,0,63.0434782608696,0,1,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"35",2004,25,1,63.0434782608696,8,1,0,0,0,0,-4,57.4468085106383,0,0,0,0,39,6,0,0,0,8,131711,76858,21638,"AR-2-2004",-24,394,55.9160700244,0,1550,0,63.0434782608696,0,1,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"36",2004,25,1,63.0434782608696,8,1,0,0,0,0,-3,65.2173913043478,0,0,0,0,394,8,0,0,39,6,82750,131711,2500,"AR-2-2004",-24,211,55.9160700244,0,21638,0,57.4468085106383,0,1,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
"37",2004,25,1,63.0434782608696,8,1,0,0,0,0,-2,60,0,0,0,0,211,5,0,0,394,8,71125,82750,1006,"AR-2-2004",-24,220,55.9160700244,0,2500,0,65.2173913043478,0,1,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA
